year,시도,size_x,size_y,per_count
2019,강원도,2759,709,25.7
2019,경기도,11221,4025,35.87
2019,경상남도,6863,2003,29.19
2019,경상북도,4502,1555,34.54
2019,광주광역시,1138,147,12.92
2019,대구광역시,1463,483,33.01
2019,대전광역시,1291,283,21.92
2019,부산광역시,2155,124,5.75
2019,서울특별시,2333,616,26.4
2019,세종특별자치시,190,132,69.47
2019,울산광역시,881,121,13.73
2019,인천광역시,2227,641,28.78
2019,전라남도,3658,1585,43.33
2019,전라북도,3239,681,21.03
2019,제주특별자치도,3533,2037,57.66
2019,충청남도,3677,1498,40.74
2019,충청북도,2080,816,39.23
2020,강원도,4576,1199,26.2
2020,경기도,20189,6526,32.32
2020,경상남도,12013,3204,26.67
2020,경상북도,8472,2246,26.51
2020,광주광역시,1776,274,15.43
2020,대구광역시,2225,638,28.67
2020,대전광역시,1839,336,18.27
2020,부산광역시,3539,319,9.01
2020,서울특별시,3417,672,19.67
2020,세종특별자치시,261,133,50.96
2020,울산광역시,1643,181,11.02
2020,인천광역시,3775,816,21.62
2020,전라남도,7567,2972,39.28
2020,전라북도,6731,1124,16.7
2020,제주특별자치도,5719,3909,68.35
2020,충청남도,7080,2813,39.73
2020,충청북도,3747,1321,35.25
2021,강원도,4293,983,22.9
2021,경기도,17915,5230,29.19
2021,경상남도,10402,2211,21.26
2021,경상북도,8076,1828,22.63
2021,광주광역시,1514,244,16.12
2021,대구광역시,1572,378,24.05
2021,대전광역시,1485,163,10.98
2021,부산광역시,3090,111,3.59
2021,서울특별시,2778,258,9.29
2021,세종특별자치시,374,148,39.57
2021,울산광역시,1245,180,14.46
2021,인천광역시,3108,482,15.51
2021,전라남도,7780,2165,27.83
2021,전라북도,6253,720,11.51
2021,제주특별자치도,4456,2589,58.1
2021,충청남도,6553,1831,27.94
2021,충청북도,3317,952,28.7
2022,강원도,2356,338,14.35
2022,경기도,9230,2069,22.42
2022,경상남도,5835,1060,18.17
2022,경상북도,4723,684,14.48
2022,광주광역시,779,125,16.05
2022,대구광역시,924,200,21.65
2022,대전광역시,758,22,2.9
2022,부산광역시,1613,74,4.59
2022,서울특별시,1447,178,12.3
2022,세종특별자치시,207,95,45.89
2022,울산광역시,655,57,8.7
2022,인천광역시,1733,197,11.37
2022,전라남도,4680,975,20.83
2022,전라북도,3725,292,7.84
2022,제주특별자치도,2387,1310,54.88
2022,충청남도,3591,796,22.17
2022,충청북도,1719,330,19.2
